time,wind,solar,electric,heat,cold
2023/1/10 12:00,811.4342386,464.212,1328.093807,499.5915737,328.80935
2023/1/10 13:00,9.87e-09,503.552,1313.25477,493.7823694,350.3989
2023/1/10 14:00,263.4092399,381.036,1324.384048,507.8212799,372.58205
2023/1/10 15:00,1.98e-09,175.344,1289.141335,484.5844625,384.0256333
2023/1/10 16:00,243.0094175,17.984,1355.917001,496.6869715,383.0990167
2023/1/10 17:00,434.9560867,0.0,1346.642603,520.8919897,364.2857833
2023/1/10 18:00,234.8160302,0.0,1344.787723,544.6129074,325.9235
2023/1/10 19:00,261.992743,0.0,1328.093807,557.1995168,308.2550667
2023/1/10 20:00,400.708266,0.0,1237.204706,593.507044,296.3053333
2023/1/10 21:00,619.0942709,0.0,1218.655909,607.0618541,284.6161833
2023/1/10 22:00,651.1509322,0.0,1222.365669,641.9170802,265.7596667
2023/1/10 23:00,198.41002,0.0,1233.494946,673.8677041,209.4736667
2023/1/11 0:00,223.9254578,0.0,1205.671752,677.740507,180.4482167
2023/1/11 1:00,354.6268154,0.0,1151.880243,674.8359048,173.2296167
2023/1/11 2:00,210.9024391,0.0,1109.218012,692.2635178,173.2746667
2023/1/11 3:00,636.1243722,0.0,1081.394818,706.7865287,172.23145
2023/1/11 4:00,222.9236871,0.0,1066.555781,707.2706291,173.8294
2023/1/11 5:00,91.03254568,0.0,1031.313068,724.2141417,191.3467833
2023/1/11 6:00,6.09e-09,0.0,996.0703552,696.1363207,232.2919333
2023/1/11 7:00,274.3340536,16.86,1010.909392,750.8396617,235.7811
2023/1/11 8:00,255.9821191,21.356,1072.12042,778.4333823,230.68515
2023/1/11 9:00,55.91984439,26.976,1172.283919,752.2919628,237.8145333
2023/1/11 10:00,14.08616085,41.588,1222.365669,694.6840197,261.1513167
2023/1/11 11:00,240.6528514,69.688,1200.107113,602.7049509,277.79155
2023/1/11 12:00,7.85e-09,73.06,1188.977836,523.7965918,295.5191667
2023/1/11 13:00,477.8446072,66.316,1207.526632,508.7894806,315.3385167
2023/1/11 14:00,3.68e-09,58.448,1201.961993,490.8777672,341.3049833
2023/1/11 15:00,73.07110875,30.348,1164.8644,482.648061,349.0836167
2023/1/11 16:00,8.86e-09,4.496,1177.848558,489.4254661,361.6773
2023/1/11 17:00,1.52e-09,0.0,1248.333983,505.4007781,342.0893833
2023/1/11 18:00,85.6986997,0.0,1279.866937,537.351402,307.3205
2023/1/11 19:00,229.9360818,0.0,1302.125492,570.2702266,283.9386667
2023/1/11 20:00,299.0582576,0.0,1203.816872,608.0300548,273.0542333
2023/1/11 21:00,380.6728527,0.0,1155.590002,653.5354889,245.67355
2023/1/11 22:00,247.9679537,0.0,1137.041206,653.5354889,212.8594833
2023/1/11 23:00,230.9378524,0.0,1153.735123,669.9949012,187.3329167
2023/1/12 0:00,498.8817911,0.0,1164.8644,689.3589157,175.55455
2023/1/12 1:00,419.7419086,0.0,1131.476567,694.1999193,167.2538667
2023/1/12 2:00,661.1686389,0.0,1086.959456,697.5886218,167.6001333
2023/1/12 3:00,493.8729378,0.0,1094.378975,700.9773244,162.2162167
2023/1/12 4:00,289.040551,0.0,1081.394818,700.0091236,168.73345
2023/1/12 5:00,82.4463747,0.0,1227.930308,703.3978262,174.8593667
2023/1/12 6:00,669.1828042,1.124,1307.690131,735.3484501,180.5012167
2023/1/12 7:00,253.88616,33.72,1318.819409,768.2672747,183.2943167
2023/1/12 8:00,94.01802173,85.424,1320.674288,761.0057693,221.4039667
2023/1/12 9:00,239.2275097,265.264,1376.320677,718.4049374,232.8192833
2023/1/12 10:00,8.88e-09,460.84,1383.740195,658.3764925,245.2990167
2023/1/12 11:00,6.1e-09,572.116,1359.62676,609.9664563,266.47075
2023/1/12 12:00,6.33e-09,588.976,1402.288992,521.8601904,285.4156
2023/1/12 13:00,79.37355269,544.016,1393.014594,497.1710719,313.8147667
2023/1/12 14:00,267.9367602,281.0,1342.932844,474.9024553,334.6649667
2023/1/12 15:00,228.4082492,96.664,1350.352362,474.4183549,353.69815
